L bin,Dls alpha T,Dls alpha E,Dls alpha B,err alpha T Dls,err alpha E Dls,err alpha B Dls
57.499999999999964,-2.12910478269722,0.0048109468857302105,-0.012666914526165545,1.3156158583262942,0.023458343204358353,0.01485570459617318
157.49999999999991,-0.7059446618214067,-0.016422099877032987,0.057572942542512426,3.736245690599422,0.0754755472719134,0.059594734416740396
257.49999999999983,-5.167746062118085,0.16416229121563397,-0.0814852006816236,5.519452526650977,0.23177424467570715,0.14113080872143696
357.49999999999983,-10.176167123517594,-0.8853218334171736,-0.09616204891317194,5.091759377552965,0.5559636743303494,0.23467286672517648
457.49999999999966,-6.331976183945811,0.31305300189540536,0.11585350647959823,5.601902608604598,0.594374940625664,0.3888642186204664
557.4999999999995,-6.352507043471788,-0.065670371338348,0.32860366197611857,7.579235070186253,0.7582024655212246,0.5762589924784121
657.4999999999994,7.116531187340613,-1.6933048836984588,0.17970806601895747,8.025865858991331,1.2952619379474626,0.7474822186704846
757.4999999999994,6.915178688927554,-1.1508960975950264,0.31947855763808786,7.703622203903989,1.4027786283323502,0.9873766805548079
857.4999999999993,18.82815752829032,0.9770572623368791,-0.7028169658290647,9.277057542411036,1.4625726359669704,1.3013681450870542
957.4999999999991,0.6235074480167344,-1.4357285468796548,-0.40131082663588724,7.682739420424367,2.1157307114952073,1.7374867319648375
1057.499999999999,6.4113797113613655,-3.569467263747031,-0.5467114020836247,8.322955862534508,2.309226457810129,2.1817888264761014
1157.4999999999989,-6.115115848244565,-0.39588463541554936,-0.7800351544324665,9.821299502910682,2.7686379151499274,2.7233398475541892
1257.4999999999995,-9.656390114620816,2.98051901070434,0.6899976360073284,8.778876027510622,3.4328017514137574,3.5956324356473046
1357.499999999999,-9.763653531450327,0.09414970354627951,1.6826913629760856,9.112780084341866,4.637688037541941,4.643769941136267
1457.499999999999,-8.207621144995201,2.612460812991296,-1.6426022366748012,10.811076855023153,6.414101870592844,6.025463091129339
