L bin,alpha T,alpha E,alpha B
5.749999999999996447e+01,-8.623579349687772802e-03,5.597786085973048824e-05,-4.014752160752547625e-05
1.574999999999999147e+02,1.335412382009157177e-03,-4.195365456793797502e-05,1.318763322492966946e-05
2.574999999999998295e+02,-1.191312336007375279e-03,-9.696681920804432598e-06,-9.145612998735192494e-07
3.574999999999998295e+02,-7.237546218411698750e-04,-1.744887422806859191e-05,-3.433431966736734501e-05
4.574999999999996589e+02,-1.121796667459443555e-04,1.897261914048854681e-06,-1.326379787837409813e-05
5.574999999999995453e+02,-1.108521006956774113e-04,1.207405984021707268e-05,-4.619935547315714487e-06
6.574999999999994316e+02,-1.840427949807677091e-05,-5.946149652567612353e-05,-1.302886331576090315e-05
7.574999999999994316e+02,3.039933887344322813e-06,-1.498916811089955506e-05,2.007255380313369920e-05
8.574999999999993179e+02,1.439449583134179216e-04,7.458282459962271170e-06,-3.202830337285491501e-06
9.574999999999990905e+02,1.044018626242402870e-04,8.544678647276111408e-06,8.440448972258780307e-06
1.057499999999999091e+03,-3.004716414453108926e-05,-1.278111606504278327e-05,-9.888000479610636816e-06
1.157499999999998863e+03,8.135597177138039168e-06,-6.036579617154375150e-06,1.927362031878282088e-05
1.257499999999999545e+03,-1.900731755204405359e-05,2.599094056734456361e-05,1.125168998929994643e-05
1.357499999999999091e+03,2.807396872554955244e-05,-2.775456892790979537e-06,-1.779995646091751865e-06
1.457499999999999091e+03,-2.673274659921524889e-05,7.909284253406594631e-06,1.876830790801378360e-05
